@relation arousal

@attribute class {-1,1}
@attribute user numeric
@attribute Theta_1 numeric
@attribute Alpha_1 numeric
@attribute LowBeta_1 numeric
@attribute HighBeta_1 numeric
@attribute Gamma_1 numeric
@attribute Theta_2 numeric
@attribute Alpha_2 numeric
@attribute LowBeta_2 numeric
@attribute HighBeta_2 numeric
@attribute Gamma_2 numeric
@attribute Theta_3 numeric
@attribute Alpha_3 numeric
@attribute LowBeta_3 numeric
@attribute HighBeta_3 numeric
@attribute Gamma_3 numeric
@attribute Theta_4 numeric
@attribute Alpha_4 numeric
@attribute LowBeta_4 numeric
@attribute HighBeta_4 numeric
@attribute Gamma_4 numeric
@attribute Theta_5 numeric
@attribute Alpha_5 numeric
@attribute LowBeta_5 numeric
@attribute HighBeta_5 numeric
@attribute Gamma_5 numeric
@attribute Theta_6 numeric
@attribute Alpha_6 numeric
@attribute LowBeta_6 numeric
@attribute HighBeta_6 numeric
@attribute Gamma_6 numeric
@attribute Theta_7 numeric
@attribute Alpha_7 numeric
@attribute LowBeta_7 numeric
@attribute HighBeta_7 numeric
@attribute Gamma_7 numeric
@attribute Theta_8 numeric
@attribute Alpha_8 numeric
@attribute LowBeta_8 numeric
@attribute HighBeta_8 numeric
@attribute Gamma_8 numeric
@attribute Theta_9 numeric
@attribute Alpha_9 numeric
@attribute LowBeta_9 numeric
@attribute HighBeta_9 numeric
@attribute Gamma_9 numeric
@attribute Theta_10 numeric
@attribute Alpha_10 numeric
@attribute LowBeta_10 numeric
@attribute HighBeta_10 numeric
@attribute Gamma_10 numeric
@attribute Theta_11 numeric
@attribute Alpha_11 numeric
@attribute LowBeta_11 numeric
@attribute HighBeta_11 numeric
@attribute Gamma_11 numeric
@attribute Theta_12 numeric
@attribute Alpha_12 numeric
@attribute LowBeta_12 numeric
@attribute HighBeta_12 numeric
@attribute Gamma_12 numeric
@attribute Theta_13 numeric
@attribute Alpha_13 numeric
@attribute LowBeta_13 numeric
@attribute HighBeta_13 numeric
@attribute Gamma_13 numeric
@attribute Theta_14 numeric
@attribute Alpha_14 numeric
@attribute LowBeta_14 numeric
@attribute HighBeta_14 numeric
@attribute Gamma_14 numeric
@attribute Theta_15 numeric
@attribute Alpha_15 numeric
@attribute LowBeta_15 numeric
@attribute HighBeta_15 numeric
@attribute Gamma_15 numeric
@attribute Theta_16 numeric
@attribute Alpha_16 numeric
@attribute LowBeta_16 numeric
@attribute HighBeta_16 numeric
@attribute Gamma_16 numeric
@attribute Theta_17 numeric
@attribute Alpha_17 numeric
@attribute LowBeta_17 numeric
@attribute HighBeta_17 numeric
@attribute Gamma_17 numeric
@attribute Theta_18 numeric
@attribute Alpha_18 numeric
@attribute LowBeta_18 numeric
@attribute HighBeta_18 numeric
@attribute Gamma_18 numeric
@attribute Theta_19 numeric
@attribute Alpha_19 numeric
@attribute LowBeta_19 numeric
@attribute HighBeta_19 numeric
@attribute Gamma_19 numeric
@attribute Theta_20 numeric
@attribute Alpha_20 numeric
@attribute LowBeta_20 numeric
@attribute HighBeta_20 numeric
@attribute Gamma_20 numeric
@attribute Theta_21 numeric
@attribute Alpha_21 numeric
@attribute LowBeta_21 numeric
@attribute HighBeta_21 numeric
@attribute Gamma_21 numeric
@attribute Theta_22 numeric
@attribute Alpha_22 numeric
@attribute LowBeta_22 numeric
@attribute HighBeta_22 numeric
@attribute Gamma_22 numeric
@attribute Theta_23 numeric
@attribute Alpha_23 numeric
@attribute LowBeta_23 numeric
@attribute HighBeta_23 numeric
@attribute Gamma_23 numeric
@attribute Theta_24 numeric
@attribute Alpha_24 numeric
@attribute LowBeta_24 numeric
@attribute HighBeta_24 numeric
@attribute Gamma_24 numeric
@attribute Theta_25 numeric
@attribute Alpha_25 numeric
@attribute LowBeta_25 numeric
@attribute HighBeta_25 numeric
@attribute Gamma_25 numeric
@attribute Theta_26 numeric
@attribute Alpha_26 numeric
@attribute LowBeta_26 numeric
@attribute HighBeta_26 numeric
@attribute Gamma_26 numeric
@attribute Theta_27 numeric
@attribute Alpha_27 numeric
@attribute LowBeta_27 numeric
@attribute HighBeta_27 numeric
@attribute Gamma_27 numeric
@attribute Theta_28 numeric
@attribute Alpha_28 numeric
@attribute LowBeta_28 numeric
@attribute HighBeta_28 numeric
@attribute Gamma_28 numeric
@attribute Theta_29 numeric
@attribute Alpha_29 numeric
@attribute LowBeta_29 numeric
@attribute HighBeta_29 numeric
@attribute Gamma_29 numeric
@attribute Theta_30 numeric
@attribute Alpha_30 numeric
@attribute LowBeta_30 numeric
@attribute HighBeta_30 numeric
@attribute Gamma_30 numeric
@attribute Theta_31 numeric
@attribute Alpha_31 numeric
@attribute LowBeta_31 numeric
@attribute HighBeta_31 numeric
@attribute Gamma_31 numeric
@attribute Theta_32 numeric
@attribute Alpha_32 numeric
@attribute LowBeta_32 numeric
@attribute HighBeta_32 numeric
@attribute Gamma_32 numeric
@attribute Theta_33 numeric
@attribute Alpha_33 numeric
@attribute LowBeta_33 numeric
@attribute HighBeta_33 numeric
@attribute Gamma_33 numeric
@attribute Theta_34 numeric
@attribute Alpha_34 numeric
@attribute LowBeta_34 numeric
@attribute HighBeta_34 numeric
@attribute Gamma_34 numeric
@attribute Theta_35 numeric
@attribute Alpha_35 numeric
@attribute LowBeta_35 numeric
@attribute HighBeta_35 numeric
@attribute Gamma_35 numeric
@attribute Theta_36 numeric
@attribute Alpha_36 numeric
@attribute LowBeta_36 numeric
@attribute HighBeta_36 numeric
@attribute Gamma_36 numeric
@attribute Theta_37 numeric
@attribute Alpha_37 numeric
@attribute LowBeta_37 numeric
@attribute HighBeta_37 numeric
@attribute Gamma_37 numeric
@attribute Theta_38 numeric
@attribute Alpha_38 numeric
@attribute LowBeta_38 numeric
@attribute HighBeta_38 numeric
@attribute Gamma_38 numeric
@attribute Theta_39 numeric
@attribute Alpha_39 numeric
@attribute LowBeta_39 numeric
@attribute HighBeta_39 numeric
@attribute Gamma_39 numeric
@attribute Theta_40 numeric
@attribute Alpha_40 numeric
@attribute LowBeta_40 numeric
@attribute HighBeta_40 numeric
@attribute Gamma_40 numeric

@data
1,13,2208.4,978.21,759.24,614.02,651.07,3888.2,1728.1,1026.5,761.48,721.75,4193,1658,978.91,748.18,699.19,3332.2,1458.7,857.39,655,612.25,1340.1,496.25,345.25,304.59,281.55,1406.4,698.99,492.58,354.81,283.88,1809.9,661.21,431.6,354.02,321.1,14142,4630.2,2713.6,2247.5,2095,1114.8,417.56,309.36,240.35,209.78,2374.4,765.71,495.81,384.92,342.08,3785.8,1057.5,646.81,648.93,576.17,2377.8,1102.4,715.06,501.76,479.32,1603.8,801.43,492.03,410.69,345.09,2610.1,1221.2,860.34,680.32,692.31,4694.9,2044.3,1235.3,959.1,913.86,4266.7,1958.9,1159.9,808.01,760.43,3314.8,1677.1,1162.5,951.47,886.25,4010.3,1617.2,992.48,694.65,638.18,3257.3,1564.5,959.12,678.82,608.34,1371.8,594.92,423.8,339.69,292.33,3609,1695.1,1065.6,774.73,708.71,2734.9,1085,677.28,508.34,457.43,2901.6,1425.8,860.04,613.55,559.67,2078.4,1025.8,657.78,460.23,414,1144,496.07,319.72,242.83,216.86,5042.7,1309.3,805.31,834.64,738.28,1723.2,777.52,489.75,378.04,349.83,3191.4,1075.3,658.76,517.13,471.29,5085.1,2216.9,1303.4,919.42,884.26,4458.7,2097,1282.7,945.9,837.97,3476,1090.1,712.62,594.17,484.65,3133.9,1462.4,1006.7,810.9,768.13,1981.1,945.07,548.75,391.1,368.22,11663,4966.1,2903.8,2242.1,1842.6,405.14,248.69,199.75,196.57,183.05,1481.8,969.92,763.7,577.71,395.26,36709,18558,10895,8193.7,6515.1,24466,12683,7789.5,5728.2,4648.9,55729,25699,15047,11300,8955.3,0.28331,0.14364,0.085085,0.064224,0.051901
1,13,2001.6,954.33,725.68,575.62,572.67,3599.2,1707.9,1097.4,850.82,785.99,3887.9,1677,1150.4,911.58,872.34,3236.8,1502.6,1004,786.18,751.08,1600,1095.3,1164.2,1191.1,1320.8,1434,692.66,518.76,444.66,404.25,1812.1,871.24,783.48,781.25,811.65,13261,4493.6,2727.7,2344.8,2142,1079.2,462.53,420.46,318.8,375.31,2264.7,741.32,457.67,402.46,342.49,3835.1,975.62,538.58,590.1,460.84,2338.2,1035,696.45,519.3,477.24,1552.2,739.38,463.18,359.44,283.35,2471,1157.4,742.86,619.01,563.06,4276.2,1982.3,1262,965.66,903.08,3961.4,1937.6,1219.2,940.19,842.48,3192.3,1652.1,1108.9,954.96,834.86,3607.8,1622.1,1013.8,763.15,679.35,3168.8,1531.4,1004.8,770.4,680.26,1327.5,592.72,464.18,397.07,369.43,3352.7,1720.1,1276.6,977.79,1067.2,2469.6,1063.8,705.72,586.85,520.06,2987,1407.1,911.52,710.13,643.73,2092.2,1010.7,650.69,514.2,451.75,1124.9,542.61,393.62,352.37,337.18,5100.1,1237.7,713.18,801.45,697.66,1865.6,803.36,554.73,445.49,432.22,2995.9,1062.2,660.54,546.89,474.8,4680.8,2183.8,1392.2,1057.8,975.81,4194.4,2081.3,1324.5,1049.5,927.26,3674.6,1039.7,625.93,556.74,431.6,2877.9,1465.4,973.52,813.16,738.91,1990.8,954.27,601.59,466.15,420.99,7861.4,1779.2,910.21,1025.2,803.8,1987.4,1028.7,617.99,471.97,372.57,2852.8,1560.9,1050.2,773.64,587.87,28020,14125,8327.2,6244.5,5055.5,32284,15875,10310,7900.5,6898.1,77359,35792,21023,15778,12562,0.53023,0.26778,0.15775,0.11865,0.094939
1,13,1874.4,936.6,893.66,858.66,757.69,3264.1,1586.2,993.59,862.2,776.56,3296.5,1512,961.81,911.16,810.39,2777.9,1341.5,832.8,742.07,662.52,973.98,479.08,352.38,378.47,316.06,1229.3,647.6,439.29,387.19,313.9,1295.1,586.32,447.29,484.41,388.77,9715,3873.9,2765.9,3246.1,2713,804.48,411.97,298.39,263.97,227.98,1642,671.51,488.64,523.21,437.88,2370.2,866.35,714.95,1088.8,820.12,1952.7,995.52,693.78,570.58,511.65,1334.4,784.12,519.95,540.63,420.68,2153.9,1119.7,895.69,863.72,785.15,3811.9,1862.2,1185.2,1059.1,989.26,3673.7,1816.6,1109.5,921.91,835.4,3003,1569.5,1153.5,1282.3,995.27,3153.5,1462.8,960.64,802.85,722.3,2871.1,1420.6,912.5,789.04,682.62,1085.1,548.31,437.25,465.86,351.23,3151.6,1570.9,980.15,852.61,754.4,2103.7,974.09,644.14,631.1,549.74,2604.6,1300.3,816.36,692.31,611.17,1873.3,957.48,619.77,522.64,450.63,917.15,465.24,325.05,276.82,236.76,3160.5,991.5,858.97,1336.2,1036.8,1439.5,733.56,484.59,469.63,395.49,2253.3,956.62,667.13,684.55,593.64,4196.6,2021.5,1266.7,1074.2,984.82,3831.1,1931.1,1207.5,1084,965.35,2335.6,949.41,691.55,779.17,647.2,2638.2,1379.4,1019.6,948.33,900.62,1880.1,942.57,565.02,467.57,420.09,4659.6,1358.6,1149,1858.4,1440.5,332.97,239.72,201.48,211.99,201.79,1424.3,923.75,790.76,569.48,400.56,45808,23161,13618,10238,8144.5,22553,10392,6391.2,4696.5,4131.3,40868,19871,11708,8754.9,7012,0.62295,0.31441,0.18529,0.1393,0.11106
1,14,2270.2,1294.3,726.04,679.36,654.69,1673.8,1006.6,664.25,696.96,705,14374,5084.5,3549.9,4391.5,4393.8,1909.6,1030.5,681.57,769.25,784.93,1678.2,921.53,516.98,503.23,494.59,1261.5,733.42,375.53,233.5,202.31,2383.2,1054.7,631.96,679.3,668.46,3815.3,1768.2,1239.3,1380.9,1443.7,1863.1,1054.2,654.36,645,667.81,8563.6,2970.8,2132.1,2654.9,2642.9,1941.8,1189.6,692.1,614.33,646.89,6531.9,2701.3,1790.7,2142.2,2132.6,1972.3,1047,626.78,510.8,525.75,2458.2,1337.1,799.09,760.44,780.99,1202.6,801.09,473.99,374.78,354.04,2172.8,1323.2,738.3,638.83,661.55,12453,4248.3,3022.7,3517.4,3496.3,5784,2004.8,1398.3,1617.4,1614.6,2663.8,1180.8,770.51,892.86,885.9,2303.5,1060.6,655.75,733.73,711.61,1560.1,924.98,515.09,503.42,471.61,5490.5,2232.6,1442.5,1767.7,1749.7,4621.1,2542.5,1557.6,1574.7,1644,8548.3,3468.5,2345.9,2836.4,2847.8,3211.4,1202.6,791.05,775.34,772.27,7499.1,2876.6,1986.2,2383.4,2362.4,3863.2,1783.7,1085.5,1205.8,1191,8295,3266.9,2265.9,2803.6,2807.3,8034.2,2624.8,1937.9,2466.5,2439.8,4987.3,2096,1320.2,1489.2,1476.8,6565.3,2161.6,1551.3,1900.7,1861.7,2118.6,925.62,631.7,703.35,668.84,3035.7,1650.1,992.12,946.94,1005.4,3750.7,1195.8,842.49,1011.4,1013.4,1993.3,1049.2,919,990.18,1180,13880,7077.5,4161.3,3123.6,2449.3,208000,105000,61826,46521,36922,20680,9733.2,5954,4572.7,3841.2,76145,35372,20646,15529,12348,1.0658,0.53627,0.31603,0.23864,0.189
1,14,2095.6,1248.3,640.04,503.18,427.08,1894.3,944.14,550.79,421.36,400.93,16981,4518.6,2515.7,2633,2243.3,2208.4,942.72,531.99,460.99,434.34,1773.8,852.99,438.98,323.82,267.21,1274,699.17,361.61,202.68,147.54,2784.1,1052.6,509.49,428.08,347.46,4539.1,1653.9,914.38,823.28,749.91,2173.3,1044.9,552.4,422.51,379.19,10151,2635.1,1471.8,1567.8,1333.2,2108.4,1135,602.51,421.22,384.28,7786.5,2502.6,1378.3,1304.8,1139.9,2008.2,984.53,514.61,346.31,296.48,2608.5,1284.6,696.53,498.23,445.08,1244.9,751.1,394.09,222.86,182.25,2277.3,1214.4,640.46,436.31,390.3,14119,3838.1,2007.1,2036.6,1728.9,6566.6,1855.5,962.41,945.95,815.05,3088.3,1108.3,638.91,536.1,474.88,2625.4,994.66,569.24,444.74,381.96,1696.7,816.3,447.27,337.23,285.11,6415.4,2043.7,1146.4,1059.2,926.87,4967,2532.4,1374,1026.4,965.48,9950.5,3147.6,1797.4,1715.4,1496.4,3638.3,1213.5,603.54,489.28,417.53,8816,2618.9,1482.8,1441,1276.1,4249.9,1701.6,893.33,745.78,659.57,9838.1,2910.3,1702,1667.9,1461.6,9608.7,2261.3,1290.2,1439.1,1214.7,5644.7,1930.4,1014,912.1,784.48,7663.2,1912.5,1055.9,1102.3,928.99,2335.3,827.75,459.42,380.18,318.55,3239.5,1677.4,900.63,637.58,599.4,4464.2,1082.8,579.83,613.83,517.11,1059.5,552.29,360.36,334.87,282.34,2425.8,1443.5,958.51,565.64,414.26,87896,44412,26111,19613,15786,22635,14979,10573,9002.3,7627.2,86379,21075,12046,9001.3,7137.3,0.44198,0.22327,0.13177,0.10002,0.079356
1,14,2383.5,1244.9,649.62,535.5,511.06,1747.9,949.91,592.97,576.57,652.87,15921,4293.5,2757.6,3326,3676.6,1968.4,943.6,615.56,635.43,731.3,1666.6,864.88,436.84,393.6,396.74,1181.8,680.39,379.13,214.89,173.15,2530.1,1029.7,533.41,519.58,553.54,4011.5,1596.3,1002.6,1097.6,1252.2,1878,1017.1,576.31,543.89,606.28,9706.8,2565.4,1643.8,1974.3,2174.1,1926.9,1123.8,618.64,536.96,595.7,7088.9,2345.7,1483.8,1673.2,1890.3,2251.1,1011.6,535.99,412.52,397.64,2369.6,1257.2,736.2,650.16,711.3,1153.8,742.68,419.85,271,246.92,1998.4,1190.2,651.54,549.17,613.08,15200,3888.7,2183.1,2457.3,2493.3,7105.9,1884.2,1041.7,1131.2,1147.4,2809.3,1096,682.02,702.03,780.88,2271.3,1001.4,600.38,571.39,610.89,1554.6,850.32,461.53,403.8,375.04,5809.5,2009.3,1225.8,1367.5,1515.1,4657,2482.3,1445.4,1359.3,1527.9,9102.5,3036.7,1964,2227.8,2502.9,3740.1,1251.1,621.56,563.22,555.03,8341.6,2541.5,1584.2,1863,2011.5,3826.5,1633.7,953.62,974.12,1068.3,9116.1,2832,1864.1,2171.2,2442.9,9478,2194,1425.8,1771.5,1926.1,5233.6,1869.8,1090.9,1164.3,1274.2,7908,1921.6,1135.7,1332,1394.3,2377.3,824.81,498.48,466.46,467.03,3262.9,1684.2,929.8,833.86,917.22,5490.8,1454.2,851.38,849.25,824.93,1342.1,702.2,524.94,612.63,581.28,2065.1,1328.6,826.44,444.95,320.18,10707,5405.3,3186.1,2387.2,2000.7,26671,17144,11254,9620.4,8342.4,37450,14032,8130.3,6138.7,4868.6,1.1582,0.58341,0.34413,0.258,0.20524
1,14,2221.9,1256.8,669.41,535.93,472.23,1744.6,930.98,540.81,493.53,493.43,14157,4712.5,2842.7,3165.1,3133.9,2008.2,937.8,553.85,558.36,566.28,1644.1,889.47,452.74,373.74,347.04,1301.4,716.93,370.2,208.97,150.64,2485,1109.7,547.01,506.16,485.22,3837.3,1628.3,946.53,965.98,974.27,1849.1,1026,547.18,481.67,456.79,8599.5,2844.8,1671.9,1901.1,1881.1,1874.3,1128.3,585.08,475.2,437.03,6536.2,2502.9,1452,1547.7,1533.7,1926.1,1029.6,538.59,386.62,328.64,2386.4,1280.7,668.42,549.67,527.75,1174.8,745.2,408.98,219.23,168.08,2087,1245.7,653.16,494.6,464.52,12567,4109.7,2323.2,2435.1,2273.9,5850.6,1965.8,1106.5,1120,1044.7,2700,1081.5,645.73,644.9,633.19,2318.8,1014.5,606.13,535.51,512.41,1691.4,886.11,476,375.43,363.1,5467.3,2073.9,1205.4,1272.5,1267.2,4530.5,2366.6,1281.9,1127.3,1123.3,8508,3174.4,1886,2049,2046.7,3222.4,1290.9,651.26,560.77,502.86,7541.2,2666.1,1595.3,1696.8,1696.6,3702.3,1689.7,901.53,863.04,865.28,8344.4,2969.4,1819.8,2020.7,2017,8126.1,2453.2,1535.3,1757,1704.6,4860.5,1940.8,1066.8,1075.2,1068.3,6660.3,2085.3,1239.5,1344.9,1266.8,2119.8,848.19,514.62,448.59,402.85,2987,1548.1,815.39,662.7,649.47,3737.6,1129.4,658.42,719.28,684.08,516.08,342.26,403.21,557.74,569.34,3147.6,1742.7,1059.4,702.79,519.32,22966,11596,6848.5,5138.9,4208.2,11790,6796,4635.3,3893.1,3190.7,134000,59564,35111,26334,20960,0.24673,0.12502,0.07459,0.056735,0.045783
1,14,2368.5,1202.9,637.4,457.16,401.56,1876.7,917.03,506.58,356.01,309.28,27857,5977.2,2556.2,2362,2138.4,2795.5,922.29,498.49,392.08,333.77,2581.5,906.35,423.63,293.65,254.03,1342.1,720.68,358.5,185.97,134.76,4187.2,1199.5,504.07,390.75,339.71,6470.8,1757.9,849.27,698.72,606.45,2783.5,1029.4,499.71,357.83,294.6,16786,3616.7,1522.6,1423.5,1293.1,2201.7,1094.6,542.81,356.3,287.08,12061,2912.1,1306.6,1145.1,1009.1,2772.9,1089.5,524.37,318.79,261.73,3096,1287.8,626.56,432.37,361.77,1081.3,734.72,393.31,208.85,173.13,2666.6,1120.2,574.95,372.95,304.36,23956,5257.7,2236.3,1884.4,1731.9,11016,2496.8,1072.6,869.47,792.5,4299.2,1206.8,606.23,477.18,411.91,3763.6,1089.4,554.15,408.29,353.46,2298.4,882.51,447.11,316.12,265.42,10019,2412.8,1092.7,966.01,852.45,4810.3,2296.8,1177,855.94,698.23,15496,3724.2,1679.2,1516.5,1341.7,5815.4,1474.6,632.16,463.56,402.34,14355,3298.2,1420.7,1319.8,1178.9,6263.9,1811.4,824.23,664.39,574.5,15635,3570.2,1627.8,1491.3,1320,16391,3344.6,1419.9,1323.3,1207.7,8822.7,2240.6,971.29,809.39,719.45,13241,2795.2,1196.4,1032.5,945.64,3824,994.11,494.15,362.99,317.82,4147,2136.7,1234.6,849.08,704.4,7544.9,1632.8,683.85,587.57,536.6,688.66,380.98,316.08,325.76,320.07,3175.9,1698.7,1083.1,686.2,502.17,15690,8024.3,4697.5,3517.4,3236.6,29002,17033,13299,11164,9588.2,83794,27545,16081,12069,9584.5,0.85017,0.4306,0.25338,0.1899,0.1507
1,14,2332.2,1350.1,737.27,565.5,483.19,1864.8,1065.9,640.99,610.89,595.16,14426,5001.2,3241.1,3488.6,3311,2081.2,1021.9,659.18,670.38,663.16,1651.4,958.31,507.11,410.75,364.72,1346.3,809.29,433.7,233.34,162.16,2459.7,1172.9,613.32,548.85,496.95,4127.4,1804.9,1145.8,1145.3,1128.2,2145.5,1129.4,647.49,574.83,551.31,8536.5,2990.3,1874,2070.5,1957.2,2154.9,1221.5,697.75,581.54,546.02,6825.7,2687.3,1738.4,1766.5,1695,1912,1088.3,588.13,415.18,363.94,2601.8,1360,820.75,670.58,638.71,1432.7,867.58,461.49,269.75,211.04,2289.5,1361.5,755.56,609.73,555.51,12168,4242.3,2405.6,2489.4,2254.4,5587.5,2017.6,1134.4,1144.1,1039.8,2791.8,1241.1,752.95,750.29,708.2,2315,1095.4,657.28,601.79,557.73,1585.6,908.22,512.97,412.26,379.17,5580.6,2211.5,1381.9,1431.8,1369.4,4955.2,2559.8,1589.6,1456.8,1389.3,8721.3,3423,2248.4,2331.3,2249.2,3162.5,1282.2,655.84,573.1,521.76,7622.5,2856.8,1850.9,1946.2,1837.6,3900.1,1806.3,1075.8,1031.2,966.28,8514.5,3220.4,2146.4,2279.2,2195.6,8024.3,2626.5,1649.6,1845.4,1734.8,4991.8,2094,1256.1,1226.5,1153.2,6486.6,2223.4,1296.4,1370.9,1255.8,2130.2,986.64,568.02,455.14,400.68,3321,1715.8,1013.1,897.87,839.07,3674.4,1166.1,693.07,741.06,680.24,477.93,315.8,374.55,485.88,421.72,2568.6,1475.8,959.37,615.82,414.39,4567,2317.6,1368.5,1007.9,1075.4,21510,13678,9868.7,8598.1,7354.5,43880,15238,8887.5,6676.8,5292.4,0.60583,0.30578,0.18056,0.13528,0.10817
1,14,2183.6,1298.8,676.75,503.53,408.22,1685,921.86,503.01,406.63,344.16,16353,5302.9,2614.9,2807.6,2351.2,1987.2,913.59,492.15,439.55,374.12,1759.5,878.33,442.06,341.58,269.16,1222.2,747.58,385.37,220.24,138.94,2678.1,1134.9,518.37,456.09,374.43,4092.1,1606.9,868.4,809.27,680.86,1983.3,977.43,529.15,393.28,333.25,9819.7,3191.6,1547.4,1687.8,1407,1851.1,1070.3,572.97,391.69,322.39,7230.2,2589.6,1359.2,1334.4,1118.5,2132.2,1057,545.99,356.76,272.43,2342.7,1234.3,662.2,482.87,401.32,1172.4,770.24,413.56,241.07,192.13,2005.1,1173.5,609.85,426.25,340.96,14895,5084.9,2348.4,2265.8,1833.3,6903,2403.8,1125.4,1048.6,843.91,2787.4,1136.7,592.37,550.24,456.21,2384.4,1039.1,541.81,469.81,383.51,1599.4,858.35,431.16,347.8,292.43,6000.8,2157.5,1088.5,1119.7,928.51,4405.2,2354.4,1250,969.34,804.25,9274.3,3291.7,1733.7,1783.9,1480.6,3761.6,1463.8,651.71,535.56,427.66,8508.6,2928.7,1472.2,1495.6,1268.9,3987.1,1685.3,857.06,773.73,632.87,9161.5,3157.3,1642.6,1741.4,1459.4,9515.8,3013.8,1447.4,1560.2,1300.6,5402.3,2053.2,1030.1,970.13,795.07,7833.5,2602.2,1222,1226.4,1003.5,2331.8,969.85,509.42,419.92,339.81,3044.2,1628.9,825.64,591.83,484.41,4587.7,1480.2,696.91,696.45,566.65,1130.7,571.81,392.42,354.68,297.34,5133.2,2547.4,1630.8,1079.8,884.77,31064,15727,9259.5,6977.9,5839.7,10094,6226.6,4548.9,3556.6,2997.3,74001,9335.5,4972.5,3788.3,3000.1,0.18444,0.094418,0.056962,0.043424,0.035634
1,14,2038.6,1181.7,605.21,464.57,409.39,1735.9,869.07,515.28,479.99,429.63,15834,5298.5,2776.8,2757.2,2463.7,2128.9,904.11,523.36,523.86,486.64,1703.2,860.1,452.07,347.42,299.01,1142.2,685.71,358.1,201.32,147.66,2602.8,1090.4,530.79,432.4,387.29,4295.5,1682.5,917.15,897.37,823.69,2051.2,1012.3,542.69,453.97,399.13,9464.1,3140.3,1617.4,1629,1470.9,1881.8,1047,572.31,441.61,392.03,7298.2,2664,1425.3,1381.1,1233.9,1749.8,948.73,492.72,341.06,300.92,2454.4,1207.9,666.53,523.87,460.92,1198.5,724.63,409.04,246.08,193.52,2083.7,1156.8,641.2,456.3,397.62,12515,4378.6,2115.4,2044.3,1831.6,5730.4,2036.6,987.38,924.27,848.16,2904.2,1117,635.08,582.39,515.67,2477.8,1002.3,563.2,481.39,428,1728.3,863.22,456.69,378.58,331.56,6117.3,2226.1,1176,1133.1,1017.9,4471.2,2223.5,1209.1,1109.3,998.38,9502.9,3379.1,1845.9,1826.6,1640.1,3062.9,1254.8,602.03,502.37,434.07,8376.3,2951.9,1543.6,1518,1380.7,4087.1,1700.3,887.91,798,707.14,9368,3245.5,1754.8,1782,1609.7,8830.9,2886.8,1442.9,1486.1,1323.3,5366,2053.8,1043.9,956.23,855.69,6924.8,2378.4,1139.5,1120,992.19,2177.6,925.65,487.48,409.2,341.75,2775.1,1466.1,767.72,671.49,613.66,3964.4,1278.9,618.49,605.54,535.79,1174.7,626.22,478.44,518.71,487.79,2074.9,1249.3,857.97,512.07,338,75777,38249,22526,16884,13613,8847.1,5666.3,4320.9,3550.1,3103.5,86367,34125,19931,14926,11886,1.03,0.51903,0.30587,0.22895,0.18286
1,14,2227.9,1275.7,661.07,456.57,365.59,1792.8,922.05,476.63,316.98,241.77,18206,4949.7,2132.6,1756.7,1642.3,2265,897.36,440.66,314.19,254.95,1773.7,844.85,399.04,262.02,209.07,1258.9,710.87,371.35,203.73,130.99,2872.9,1075.8,473.12,321.2,271.51,4649.9,1553.9,791.8,539.42,459.78,2132.6,988.82,513.17,299.34,242.09,10994,2962.1,1256.6,1065.3,990.81,1950.6,1087.9,561.13,317.04,243.72,8126.2,2510,1168.6,865.08,775.72,2204.2,1058.1,525.97,303.27,238.88,2545.4,1234.7,641.91,378.62,296.4,1144.8,737,411.22,209.32,145.22,2130,1153.1,582.46,332.94,256.24,16325,4933.3,2086.8,1582.2,1409.1,7564.6,2362.8,1002.2,754.21,655.66,3059.9,1083.6,545.14,387.11,324.54,2616.7,968.76,503.28,337.54,281.96,1785,815.67,407.89,276.49,237.35,6688.5,2013.9,949.03,737.27,660.2,4661.3,2354.3,1239.2,758.95,571.73,10451,3153.4,1496.8,1165.9,1020.3,3965.7,1412.2,643.98,408.6,354.64,9500.4,2765.1,1248.9,1002.3,951.55,4350.6,1612.5,771.58,537.67,448.19,10433,2991.4,1398.1,1115.3,1003.4,10736,2797.1,1165.6,1005.8,941.66,5963.2,1977.3,893.67,644.83,559.16,8766.7,2474.2,1034.7,831.1,761.57,2608.6,937.25,463.52,304.03,254.56,3125.5,1656.1,850.86,526.31,386.33,5167,1428.8,654.35,511.95,461.49,697.86,388.86,247.32,203.51,168.32,2538.9,1533.6,928.55,576.32,407.98,61114,30856,18171,13653,10835,24691,15390,10488,8846.9,7579,103000,23889,13588,10253,8130.5,2.4585,1.2408,0.73022,0.54789,0.43609
